track_id,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence
7oHkit3F3vimtsBbnZkU0G,0.472,0.709,0.751,4.71e-06,6,0.182,-3.801,1,0.16,104.999,0.37
2I3dW2dCBZAJGj5X21E53k,0.113,0.841,0.682,9.65e-05,2,0.131,-7.007,1,0.0458,94.985,0.338
4kUZvXB3LC3an3HX6h0s17,0.401,0.729,0.504,1.44e-06,8,0.121,-6.784,0,0.0321,110.011,0.305
0GAyuCo975IHGxxiLKDufB,0.506,0.583,0.625,0.0,1,0.196,-8.011,1,0.277,89.812,0.516
5lLNBIyjp72btcnrjBG751,0.0526,0.618,0.632,0.0,11,0.353,-6.973,1,0.346,81.446,0.319
4X8P4arz5eir4T1VdieWvv,0.806,0.474,0.57,0.0,10,0.619,-10.757,0,0.169,144.856,0.387
3RCbCn5Y1OQpk2FPzBkhJV,0.351,0.538,0.467,0.000832,11,0.154,-11.792,0,0.121,114.526,0.153
6br4Pc0BzU6dTD5fEmks2i,0.49,0.898,0.598,0.0014,2,0.0646,-7.164,1,0.0467,119.966,0.528
41FxRrhwqe2LvFcU3WapS1,0.192,0.321,0.887,0.0,0,0.231,-8.5,1,0.597,172.356,0.0939
6JyEh4kl9DLwmSAoNDRn5b,0.278,0.765,0.542,1.87e-05,1,0.609,-6.755,1,0.39,171.945,0.734
4eSGSqP2TZvvX0kadZZttM,0.841,0.397,0.172,6.78e-05,6,0.108,-15.698,0,0.0445,101.275,0.123
1gT5TGwbkkkUliNzHRIGi1,0.139,0.261,0.852,4.26e-05,9,0.477,-4.965,1,0.158,177.997,0.431
1BUckPDAi8NYfLN7EiQcQA,0.92,0.416,0.185,0.000875,5,0.155,-13.627,1,0.0378,104.474,0.0985
5XUuMp2i5ojqcDOSusChqL,0.0369,0.578,0.522,0.0033,2,0.0939,-7.327,1,0.0396,127.846,0.21
2Gnsof1hvZzjE1xdLRpjtf,0.759,0.489,0.57,2.1e-06,1,0.179,-10.291,1,0.306,185.516,0.584
6Z01gUquJsjJC67uNWm6P0,0.0555,0.566,0.465,0.0,2,0.567,-11.714,1,0.235,143.015,0.177
6LxSe8YmdPxy095Ux6znaQ,0.365,0.636,0.566,0.000353,6,0.0917,-7.16,0,0.106,151.894,0.425
0V4l4GQhgnWQGtCWpvA7va,0.227,0.418,0.546,0.0,0,0.229,-9.057,0,0.238,160.152,0.294
047fCsbO4NdmwCBn8pcUXl,0.646,0.492,0.26,0.00178,9,0.0705,-17.341,0,0.0921,111.519,0.312
1QBwk6GTCxVdC2hoSw9tlM,0.0786,0.417,0.887,0.0,5,0.834,-5.551,0,0.367,167.579,0.303
74atKkOasLOVzvqB6mYgga,0.166,0.567,0.309,0.0,8,0.12,-14.254,1,0.385,65.041,0.509
7t1lBIr3WIEtqQEOdZFMUf,0.485,0.495,0.351,0.0,3,0.0967,-14.669,0,0.34,134.369,0.271
4xRxYWgAtL6pzRz94GlZlA,0.517,0.556,0.702,0.0,0,0.343,-10.079,0,0.205,155.948,0.793
6mFkJmJqdDVQ1REhVfGgd1,0.735,0.481,0.262,0.0114,7,0.832,-15.73,1,0.0414,122.861,0.375
6x8g6DxglrzCSwKhv2Q1ee,0.959,0.305,0.241,0.00185,0,0.158,-12.236,1,0.0283,136.262,0.0688
4VL310GGX3b2ixL3sV0Je8,0.984,0.419,0.0904,0.0048,9,0.243,-16.158,1,0.0419,101.112,0.173
4qG7hWhljsqqENL5PaLA2z,0.385,0.335,0.44,0.00251,9,0.115,-9.748,1,0.0275,132.449,0.198
58yC1Q6XKjmHeWkEWh9O6B,0.748,0.578,0.491,0.0,5,0.16,-7.107,0,0.0469,139.97,0.237
0Hs5enNuaAXmJssAybWbOw,0.419,0.449,0.717,0.000272,2,0.346,-6.055,1,0.0549,127.999,0.235
3QWENKFYGEgp3itgTnrgq9,0.555,0.644,0.691,5.59e-06,1,0.211,-6.348,1,0.0655,139.953,0.718
5JpSjNcjuP8L9QrYmv3xcn,0.267,0.483,0.621,0.0284,2,0.472,-8.602,1,0.0393,158.001,0.172
2yYDijitHN6psA2tH0ndXs,0.459,0.278,0.564,9.4e-06,9,0.256,-7.61,0,0.0357,78.639,0.177
